0,MLS1,Major League Soccer,United States
2,131171,Juan Agudelo,1992-11-23,Manizales,Colombia,185,United States,Colombia,CF,626,-1,855000
2,251421,Patrick Mullins,1992-02-05,New Orleans Louisiana,United States,186,United States,N/A,CF,2440,-1,653000
2,46472,Charlie Davies,1986-06-25,Manchester New Hampshire,United States,178,United States,The Gambia,CF,75,-1,360000
2,58367,Saër Sène,1986-11-04,Saint-Germain-en-Laye,France,190,France,Senegal,CF,46681,-1,248000
2,84898,Geoffrey Castillion,1991-05-25,Amsterdam,Netherlands,192,Netherlands,Suriname,CF,1185,-1,225000
2,125700,Tony Taylor,1989-07-13,Long Beach Kalifornien,United States,180,Panama,United States,RW,43305,-1,180000
1,813,Columbus Crew SC,MLS1,52
2,210682,Matt Lampson,1989-09-06,Cleveland Tennessee,United States,192,United States,N/A,GK,56089,-1,405000
2,261250,Daniel Withrow,1990-05-24,Rochester Hills Michigan,United States,186,United States,N/A,GK,515,-1,68000
2,39897,Michael Parkhurst,1984-01-24,Providence Rhode Island,United States,180,United States,Ireland,CB,51663,-1,630000
2,178226,Héctor Jiménez,1988-11-03,Huntington Park Kalifornien,United States,175,United States,N/A,RB,813,-1,540000
2,268310,Ben Sweat,1991-09-04,Palm Harbor Florida,United States,188,United States,N/A,LB,40058,-1,540000
2,228103,Chad Barson,1991-02-25,Columbus Ohio,United States,180,United States,N/A,CB,42755,-1,135000
2,64669,Agustín Viana,1983-08-23,Chicago Illinois,United States,181,Uruguay,Italy,LB,123,-1,-1
2,199559,Wil Trapp,1993-01-15,Gahanna Ohio,United States,173,United States,N/A,DM,813,-1,900000
2,146049,Tony Tchani,1989-04-13,Bafang,Cameroon,193,Cameroon,United States,CM,6321,-1,630000
2,213018,Kevan George,1990-01-30,Roxborough,Trinidad and Tobago,187,Trinidad and Tobago,N/A,CM,46717,-1,180000
2,308485,Fifi Baiden,1991-11-11,Ajumako,Ghana,173,Ghana,N/A,DM,515,-1,45000
2,212949,Ethan Finlay,1990-08-06,Duluth Minnesota,United States,174,United States,Canada,RW,56089,-1,1130000
2,218314,Aaron Schoenfeld,1990-04-17,Knoxville Tennessee,United States,193,Israel,United States,CF,119,-1,450000
2,212891,Ben Speas,1991-01-17,Stow Ohio,United States,173,United States,N/A,SS,39148,-1,248000
2,315922,Adam Bedell,1991-12-01,Livonia Michigan,United States,200,United States,N/A,CF,515,-1,180000
2,141704,Steve Clark,1986-04-14,Mason Michigan,United States,190,United States,N/A,GK,2440,-1,315000
2,111893,Giancarlo González,1988-02-08,San José,Costa Rica,186,Costa Rica,N/A,CB,1025,-1,1800000
2,163492,Josh Williams,1988-04-18,Akron Ohio,United States,187,United States,N/A,CB,813,-1,585000
2,211587,Waylon Francis,1990-09-20,Puerto Limón,Costa Rica,177,Costa Rica,N/A,LB,9636,-1,540000
2,1094,Emanuel Pogatetz,1983-01-16,Graz,Austria,191,Austria,N/A,CB,413,-1,225000
2,39302,Tyson Wahl,1984-02-23,Newport Beach California,United States,188,United States,N/A,CB,123,-1,-1
2,179953,Eric Gehrig,1987-12-15,Harvey Illinois,United States,185,United States,N/A,RB,123,-1,-1
2,45612,Federico Higuaín,1984-10-25,Buenos Aires,Argentina,172,Argentina,N/A,AM,813,-1,675000
2,168856,Álvaro Rey,1989-07-11,Sevilla,Spain,183,Spain,N/A,CM,1176,-1,315000
2,39833,Dan Paladini,1984-11-11,Northridge Kalifornien,United States,175,United States,N/A,DM,515,-1,135000
2,175387,Justin Meram,1988-12-04,Shelby Township Michigan,United States,185,Iraq,United States,LW,45604,-1,2250000
2,40117,Dominic Oduro,1985-08-13,Accra,Ghana,183,Ghana,United States,RW,4078,-1,540000
2,51620,Jairo Arrieta,1983-08-25,Nicoya,Costa Rica,173,Costa Rica,N/A,CF,2677,-1,270000
2,242325,Romain Gall,1995-01-31,Paris,France,179,United States,France,RW,2843,-1,225000
2,178768,Bernardo Añor,1988-05-24,Caracas,Venezuela,181,Venezuela,United States,LW,531,-1,90000
1,623,New York Red Bulls,MLS1,50
2,47289,Luis Robles,1984-05-11,Fort Huachuca Arizona,United States,185,United States,Puerto Rico,GK,623,-1,1130000
2,245893,Matt Miazga,1995-07-19,Clifton New Jersey,United States,193,United States,Poland,CB,499,-1,2700000
2,184922,Ambroise Oyongo,1991-06-22,Ndikiniméki,Cameroon,176,Cameroon,N/A,LB,969,-1,675000
2,36454,Roy Miller,1984-11-24,San José,Costa Rica,187,Costa Rica,N/A,CB,4291,-1,360000
2,57540,Damien Perrinelle,1983-09-12,Suresnes,France,187,France,N/A,CB,75,-1,225000
2,29068,Armando Lozano,1984-12-16,Motril,Spain,187,Spain,N/A,CB,16486,-1,180000
2,51478,Ibrahim Sekagya,1980-12-19,Kampala,Uganda,185,Uganda,N/A,CB,123,-1,-1
2,90569,Jámison Olave,1981-04-21,Medellín,Colombia,191,Colombia,United States,CB,123,-1,-1
2,146031,Eric Alexander,1988-04-14,Portage Michigan,United States,185,United States,N/A,CM,9168,-1,540000
2,263295,Marius Obekop,1994-12-19,Yaounde,Cameroon,178,Cameroon,N/A,AM,21508,-1,270000
2,89440,Jonny Steele,1986-02-07,Larne,Northern Ireland,182,Northern Ireland,United States,LM,42814,-1,135000
2,259821,Michael Bustamante,1989-09-21,Medellín,Colombia,175,Colombia,United States,AM,515,-1,90000
2,20585,Bobby Convey,1983-05-27,Philadelphia Pennsylvania,United States,172,United States,N/A,LM,123,-1,-1
2,12131,Lloyd Sam,1984-09-27,Leeds,England,173,Ghana,England,RW,2440,-1,450000
2,10387,David Carney,1983-11-30,Sydney,Australia,183,Australia,N/A,LW,8054,-1,315000
2,71723,Andre Akpan,1987-12-09,Grand Prairie Texas,United States,183,United States,Nigeria,CF,515,-1,135000
2,3916,Péguy Luyindula,1979-05-25,Kinshasa,Zaire,178,France,DR Congo,CF,123,-1,-1
2,213051,Ryan Meara,1990-11-15,Yonkers New York,United States,192,Ireland,United States,GK,623,-1,180000
2,307887,Chris Duvall,1991-09-10,Duluth Georgia,United States,178,United States,N/A,RB,4078,-1,720000
2,209845,Connor Lade,1989-11-16,Livingston New Jersey,United States,170,United States,N/A,RB,623,-1,675000
2,75422,Markus Holgersson,1985-04-16,Landskrona,Sweden,190,Sweden,N/A,CB,34559,-1,270000
2,105974,Brandon Barklage,1986-11-02,St Louis Missouri,United States,180,United States,N/A,RB,515,-1,225000
2,59545,Kosuke Kimura,1984-05-14,Kobe,Japan,175,Japan,N/A,RB,54753,-1,113000
2,73493,Richard Eckersley,1989-03-12,Salford,England,183,England,N/A,RB,123,-1,-1
2,39479,Dax McCarty,1987-04-30,Winter Park Florida,United States,175,United States,N/A,CM,432,-1,1580000
2,13556,Tim Cahill,1979-12-06,Sydney,Australia,180,Australia,Samoa,AM,1028,-1,450000
2,192073,Rubén Bover,1992-06-24,Palma de Mallorca,Spain,178,Spain,N/A,CM,2804,-1,270000
2,253540,Ian Christianson,1991-03-06,Cedar Rapids Iowa,United States,180,United States,N/A,DM,515,-1,90000
2,268305,Eric Stevenson,1990-08-30,Columbus Ohio,United States,172,United States,N/A,RM,51772,-1,68000
2,28813,Bradley Wright-Phillips,1985-03-12,London,England,173,England,Grenada,CF,623,-1,1580000
2,59528,Edgar Espíndola,1985-05-04,Merlo,Argentina,175,Argentina,N/A,CF,515,-1,450000
2,58367,Saër Sène,1986-11-04,Saint-Germain-en-Laye,France,190,France,Senegal,CF,46681,-1,248000
2,3207,Thierry Henry,1977-08-17,Les Ulis,France,188,France,Guadeloupe,CF,123,-1,-1
1,4284,Sporting Kansas City,MLS1,49
2,119722,Tim Melia,1986-05-15,Great River New York,United States,185,United States,N/A,GK,4284,-1,900000
2,37001,Eric Kronberg,1983-07-07,Santa Rosa California,United States,196,United States,N/A,GK,75,-1,135000
2,25691,Andy Gruenebaum,1982-12-30,Overland Park Kansas,United States,185,United States,Israel,GK,123,-1,-1
2,125696,Ike Opara,1989-02-21,Durham North Carolina,United States,188,United States,Nigeria,CB,4284,-1,900000
2,54326,Sal Zizzo,1987-04-03,San Diego Kalifornien,United States,180,United States,Italy,RB,51663,-1,540000
2,45155,Aurélien Collin,1986-03-08,Enghien-les-Bains,France,188,France,N/A,CB,623,-1,450000
2,282199,Erik Palmer-Brown,1997-04-24,Napoleon Ohio,United States,186,United States,N/A,CB,601,-1,270000
2,154746,Mechack Jérôme,1990-04-21,Liancourt,Haiti,178,Haiti,N/A,CB,43305,-1,203000
2,223977,Igor Julião,1994-08-23,Leopoldina,Brazil,175,Brazil,N/A,RB,34775,-1,180000
2,283624,Jimmy Medranda,1994-02-07,Mosquera,Colombia,165,Colombia,N/A,CM,4284,-1,765000
2,166628,Oriol Rosell,1992-07-07,Puig-reig,Spain,182,Spain,N/A,DM,45604,-1,630000
2,236587,Mikey Lopez,1993-02-20,Dallas Texas,United States,174,United States,N/A,DM,52910,-1,315000
2,62231,Jorge Claros,1986-01-08,La Ceiba,Honduras,176,Honduras,N/A,DM,13293,-1,225000
2,81119,Peterson Joseph,1990-04-24,Port-Au-Prince,Haiti,175,Haiti,N/A,CM,515,-1,68000
