0,MEXA-2017,Liga MX Apertura,Mexico
2,552957,Fernando Mayor,1997-04-09,San Luis Potosí,Mexico,180,Mexico,N/A,M,23019,-1,-1
2,89718,Eduardo Vargas,1989-11-20,Santiago de Chile,Chile,174,Chile,N/A,CF,7055,9,4050000
2,43907,André-Pierre Gignac,1985-12-05,Martigues,France,187,France,N/A,CF,7055,10,3600000
2,45327,Ismael Sosa,1987-01-18,San Martín,Argentina,178,Argentina,N/A,RW,7055,18,2520000
2,552953,Julio Ibarra,1996-01-13,San Nicolás de los Garza,Mexico,177,Mexico,N/A,ST,75,32,180000
2,344818,Luis Cruz,1997-01-16,Monterrey,Mexico,181,Mexico,N/A,ST,7055,-1,90000
2,52588,Damián Álvarez,1978-05-21,Buenos Aires,Argentina,165,Mexico,Argentina,LW,123,-1,-1
2,53763,Enrique Palos,1986-05-31,Aguascalientes,Mexico,190,Mexico,N/A,GK,49283,-1,450000
2,465647,Miguel Ortega,1995-04-13,Puebla,Mexico,193,Mexico,N/A,GK,7055,30,90000
2,141103,Luis Rodríguez,1991-01-21,Monterrey,Mexico,175,Mexico,N/A,RB,7055,28,2250000
2,58642,Jorge Torres,1988-01-16,Tijuana,Mexico,180,Mexico,N/A,LB,7055,6,1800000
2,188491,Francisco Meza,1991-08-29,Barranquilla,Colombia,184,Colombia,N/A,CB,7055,21,900000
2,52697,Juninho,1982-09-16,Wenceslau Braz,Brazil,182,Brazil,Mexico,CB,7055,3,720000
2,553816,Juan Sánchez,1998-01-09,San Luis Potosí,Mexico,187,Mexico,N/A,D,7055,-1,270000
2,344821,David Navarro,1996-04-03,Montemorelos Nuevo León,Mexico,171,Mexico,N/A,D,12739,-1,-1
2,230030,Lucas Zelarayán,1992-06-20,Córdoba,Argentina,172,Argentina,N/A,AM,7055,8,4050000
2,52623,Francisco Torres,1987-10-29,Longview Texas,United States,175,United States,Mexico,CM,5662,17,720000
2,523223,Raúl Torres,1996-08-26,Monclova,Mexico,172,Mexico,N/A,CM,7055,16,270000
2,564327,Jorge Cruz,1998-08-08,Monterrey,Mexico,184,Mexico,N/A,AM,7055,24,90000
2,111082,Javier Aquino,1990-02-11,Oaxaca,Mexico,167,Mexico,N/A,LW,7055,20,4500000
2,139503,Enner Valencia,1989-11-04,San Lorenzo,Ecuador,177,Ecuador,N/A,CF,7055,13,4050000
2,221735,Jürgen Damm,1992-11-07,Tuxpan,Mexico,187,Mexico,Germany,RW,7055,25,3150000
2,552956,Jhory Celaya,1998-05-25,San Nicolás de los Garza,Mexico,168,Mexico,N/A,ST,7055,26,180000
2,552958,Rafael Durán,1997-08-20,Guadalajara,Mexico,185,Mexico,N/A,CF,7055,35,180000
2,552954,Miguel Quintanilla,1996-03-30,Aguascalientes,Mexico,188,Mexico,N/A,ST,75,33,90000
