0,L1-2018,Bundesliga,Germany
2,258027,Renato Sanches,1997-08-18,Lissabon,Portugal,176,N/A,N/A,CM,27,35,18000000
2,356640,Paul Will,1999-03-01,Biedenkopf,Germany,185,N/A,N/A,CM,28,-1,90000
2,243714,Kingsley Coman,1996-06-13,Paris,France,179,N/A,N/A,LW,27,29,45000000
2,58358,Thomas Müller,1989-09-13,Weilheim,Germany,186,N/A,N/A,SS,27,25,36000000
2,39743,Sandro Wagner,1987-11-29,München,Germany,194,N/A,N/A,CF,3187,-1,7200000
2,22068,Franck Ribéry,1983-04-07,Boulogne-sur-Mer,France,170,N/A,N/A,LW,27,7,3600000
1,23826,RB Leipzig,L1-2018,45
2,57071,Péter Gulácsi,1990-05-06,Budapest,Hungary,190,N/A,N/A,GK,23826,1,9000000
2,118161,Marius Müller,1993-07-12,Heppenheim,Germany,193,N/A,N/A,GK,23826,21,450000
2,344695,Dayot Upamecano,1998-10-27,Évreux,France,185,N/A,N/A,CB,23826,5,27000000
2,215599,Lukas Klostermann,1996-06-03,Herdecke,Germany,189,N/A,N/A,RB,23826,16,19800000
2,93740,Willi Orban,1992-11-03,Kaiserslautern,Germany,186,N/A,N/A,CB,23826,4,13500000
2,348026,Nordi Mukiele,1997-11-01,Montreuil,France,185,N/A,N/A,RB,23826,22,12600000
2,53418,Kevin Kampl,1990-10-09,Solingen,Germany,178,N/A,N/A,CM,23826,44,19800000
2,82070,Diego Demme,1991-11-21,Herford,Germany,170,N/A,N/A,DM,23826,31,15300000
2,40074,Stefan Ilsanker,1989-05-18,Hallein,Austria,189,N/A,N/A,DM,23826,13,4050000
2,392765,Emile Smith Rowe,2000-07-28,London,England,182,N/A,N/A,LM,23826,18,3600000
2,337083,Erik Majetschak,2000-03-01,N/A,N/A,185,N/A,N/A,CM,26621,-1,180000
2,157635,Yussuf Poulsen,1994-06-15,Kopenhagen,Denmark,193,N/A,N/A,CF,23826,9,27000000
2,111078,Emil Forsberg,1991-10-23,Sundsvall,Sweden,179,N/A,N/A,LW,23826,10,22500000
2,139396,Bruma,1994-10-24,Bissau,Guinea-Bissau,173,N/A,N/A,LW,23826,17,11250000
2,147051,Yvon Mvogo,1994-06-06,Yaounde,Cameroon,186,N/A,N/A,GK,23826,28,2700000
2,337082,Julian Krahl,2000-01-22,N/A,N/A,194,N/A,N/A,GK,23826,32,180000
2,357119,Ibrahima Konaté,1999-05-25,Paris,France,193,N/A,N/A,CB,23826,6,27000000
2,70243,Marcel Halstenberg,1991-09-27,Laatzen,Germany,186,N/A,N/A,LB,23826,23,15300000
2,373916,Marcelo Saracchi,1998-04-23,Paysandú,Uruguay,172,N/A,N/A,LB,23826,3,12600000
2,149516,Atinc Nukan,1993-07-20,Istanbul,Turkey,196,N/A,N/A,CB,23826,33,540000
2,402008,Amadou Haidara,1998-01-31,Bamako,Mali,175,N/A,N/A,CM,23826,8,18000000
2,223967,Konrad Laimer,1997-05-27,Salzburg,Austria,180,N/A,N/A,CM,23826,27,12600000
2,332705,Tyler Adams,1999-02-14,Wappingers Falls New York,United States,176,N/A,N/A,DM,23826,14,4050000
2,388026,Niclas Stierlin,2000-01-22,Mannheim,Germany,182,N/A,N/A,DM,26621,-1,360000
2,170527,Timo Werner,1996-03-06,Stuttgart,Germany,181,N/A,N/A,CF,23826,11,58500000
2,106987,Marcel Sabitzer,1994-03-17,Wels,Austria,177,N/A,N/A,RW,23826,7,22500000
2,264956,Jean-Kévin Augustin,1997-06-16,Paris,France,177,N/A,N/A,CF,23826,29,18000000
2,517894,Matheus Cunha,1999-05-27,João Pessoa,Brazil,184,N/A,N/A,CF,23826,20,11250000
1,18,Borussia Mönchengladbach,L1-2018,43
2,42205,Yann Sommer,1988-12-17,Morges,Switzerland,183,N/A,N/A,GK,18,1,11700000
2,284270,Moritz Nicolas,1997-10-21,Gladbeck,Germany,193,N/A,N/A,GK,18,35,135000
