0,DK1-2016,Alka Superligaen,Denmark
2,78514,David Boysen,1991-04-30,Herlev,Denmark,179,Denmark,Israel,LW,1101,-1,405000
2,68983,Kevin Mensah,1991-05-15,Viborg,Denmark,173,Denmark,Ghana,SS,206,14,270000
2,283239,Daniel Stückler,1997-04-13,N/A,N/A,184,Denmark,Austria,CF,369,-1,135000
2,482107,Magnus Warming,2000-06-08,N/A,N/A,-1,Denmark,N/A,SS,8815,-1,-1
2,11757,Adam Kwarasey,1987-12-12,Oslo,Norway,190,Ghana,Norway,GK,76,16,540000
2,293271,Viktor Anker,1998-01-10,N/A,N/A,194,Denmark,N/A,GK,22110,30,45000
2,140678,Johan Larsson,1990-05-05,Kinna,Sweden,182,Sweden,N/A,RB,206,13,1580000
2,187147,Hjörtur Hermannsson,1995-02-08,Reykjavík,Iceland,190,Iceland,N/A,CB,206,6,720000
2,135209,Frederik Holst,1994-09-24,N/A,N/A,175,Denmark,N/A,RB,1101,12,450000
2,20313,Jesper Juelsgaard,1989-01-26,Spjald,Denmark,182,Denmark,N/A,LB,678,-1,315000
2,224892,Gregor Sikosek,1994-02-13,Brežice,Slovenia,176,Slovenia,N/A,LB,6248,5,270000
2,197304,Patrick Da Silva,1994-10-23,Kalundborg,Denmark,176,Denmark,Brazil,LB,4769,-1,225000
2,345576,Christian Enemark,1999-01-20,N/A,N/A,183,Denmark,N/A,CB,23297,-1,90000
2,146155,Hany Mukhtar,1995-03-21,Berlin,Germany,173,Germany,Sudan,AM,206,-1,3150000
2,253316,Lebogang Phiri,1994-11-09,Johannesburg Gauteng,South Africa,173,South Africa,N/A,DM,855,18,1350000
2,22479,Jonas Borring,1985-01-04,N/A,N/A,193,Denmark,N/A,LM,2414,-1,270000
2,15052,Thomas Kahlenberg,1983-03-20,Hvidovre,Denmark,183,Denmark,N/A,CM,123,7,-1
2,118074,Marcos Ureña,1990-03-05,San José,Costa Rica,181,Costa Rica,N/A,SS,51828,-1,1130000
2,167798,Andrew Hjulsager,1995-01-15,Amager,Denmark,175,Denmark,N/A,RW,940,-1,720000
2,256186,Christian Jakobsen,1993-03-27,N/A,N/A,190,Denmark,N/A,RW,5817,-1,540000
