0,ES1-2016,LaLiga,Spain
2,5404,Jérémy Mathieu,1983-10-29,Luxeuil-les-Bains,France,189,France,N/A,CB,336,24,1800000
2,214770,Borja López,1994-02-02,Gijón,Spain,191,Spain,N/A,CB,447,-1,900000
2,65230,Sergio Busquets,1988-07-16,Sabadell,Spain,189,Spain,N/A,DM,131,5,72000000
2,129473,Rafinha,1993-02-12,São Paulo,Brazil,174,Brazil,Spain,CM,131,12,25200000
2,221025,André Gomes,1993-07-30,Vila Nova de Gaia,Portugal,188,Portugal,N/A,CM,29,21,13500000
2,7600,Andrés Iniesta,1984-05-11,Fuentealbilla,Spain,171,Spain,N/A,CM,3958,8,7200000
2,181112,Sergi Samper,1995-01-20,Barcelona,Spain,181,Spain,N/A,DM,131,-1,2250000
2,256120,Wilfrid Kaptoum,1996-07-07,Douala,Cameroon,170,Cameroon,N/A,CM,2865,-1,180000
2,68290,Neymar,1992-02-05,Mogi das Cruzes,Brazil,175,Brazil,N/A,LW,583,11,162000000
2,126716,Paco Alcácer,1993-08-30,Torrent,Spain,175,Spain,N/A,CF,16,17,13500000
2,141834,Cristian Tello,1991-08-11,Sabadell,Spain,178,Spain,N/A,LW,150,-1,5400000
2,443222,Marc Cardona,1995-07-08,Lleida,Spain,183,Spain,N/A,CF,1533,-1,900000
1,13,Atlético Madrid,ES1-2016,78
2,121483,Jan Oblak,1993-01-07,Skofja Loka,Slovenia,189,Slovenia,N/A,GK,13,13,63000000
2,236734,Axel Werner,1996-02-28,Rafaela,Argentina,192,Argentina,N/A,GK,5358,-1,900000
2,254036,Bernabé Barragán,1993-02-18,Los Palacios,Spain,190,Spain,N/A,GK,5648,-1,90000
2,107010,Stefan Savic,1991-01-08,Mojkovac,Jugoslawien (SFR),187,Montenegro,N/A,CB,13,15,36000000
2,54928,Diego Godín,1986-02-16,Rosario,Uruguay,187,Uruguay,Spain,CB,13,2,31500000
2,339808,Theo Hernández,1997-10-06,Marseille,France,184,France,Spain,LB,681,-1,13500000
2,162029,Javier Manquillo,1994-05-05,Madrid,Spain,178,Spain,N/A,RB,762,-1,4500000
2,189458,Emiliano Velázquez,1994-04-30,Montevideo,Uruguay,184,Uruguay,N/A,CB,367,-1,900000
2,480248,Rafa Muñoz,1994-06-19,Málaga,Spain,183,Spain,N/A,CB,12361,-1,270000
2,44373,Guilherme Siqueira,1986-04-28,Florianópolis,Brazil,182,Brazil,Italy,LB,123,-1,-1
2,148928,Saúl Ñíguez,1994-11-21,Elche,Spain,184,Spain,N/A,CM,13,8,63000000
2,240900,Matías Kranevitter,1993-05-21,San Miguel de Tucumán,Argentina,179,Argentina,Italy,DM,964,-1,6300000
2,39151,Augusto Fernández,1986-04-10,Pergamino,Argentina,177,Argentina,Spain,CM,17250,12,2250000
2,420064,Caio Henrique,1997-07-31,Santos,Brazil,179,Brazil,N/A,CM,309,-1,720000
2,295065,Toni Moya,1998-03-20,Mérida,Spain,-1,Spain,N/A,CM,3679,-1,270000
2,8538,Tiago,1981-05-02,Viana do Castelo,Portugal,183,Portugal,N/A,CM,123,5,-1
2,266807,Ángel Correa,1995-03-09,Rosario,Argentina,172,Argentina,Spain,RW,13,11,21600000
2,340950,Diogo Jota,1996-12-04,Massarelos,Portugal,178,Portugal,N/A,LW,543,-1,16200000
2,75442,Nico Gaitán,1988-02-23,San Martín,Argentina,174,Argentina,N/A,LW,33304,23,7200000
2,339820,Amath Ndiaye,1996-07-16,Dakar,Senegal,173,Senegal,N/A,LW,3709,-1,4500000
2,323831,Rafael Borré,1995-09-15,Barranquilla,Colombia,174,Colombia,N/A,CF,209,-1,2700000
2,345473,Nicolás Schiappacasse,1999-01-12,Montevideo,Uruguay,180,Uruguay,Italy,LW,13702,-1,225000
2,311435,Ferni,1998-04-07,Talavera de la Reina,Spain,187,Spain,N/A,LW,3679,-1,90000
2,411928,Mohammed Zakaria,1997-06-01,Aïn Temouchent,Algeria,174,Algeria,Spain,CF,11646,-1,90000
2,26065,Miguel Ángel Moyà,1984-04-02,Binissalem,Spain,189,Spain,N/A,GK,681,1,1800000
2,326363,André Moreira,1995-12-02,Ribeirão,Portugal,194,Portugal,N/A,GK,405,25,900000
2,250845,José Giménez,1995-01-20,Toledo,Uruguay,185,Uruguay,Spain,CB,13,24,45000000
2,281963,Lucas Hernández,1996-02-14,Marseille,France,184,France,N/A,LB,13,19,36000000
2,76061,Sime Vrsaljko,1992-01-10,Rijeka,Croatia,181,Croatia,N/A,RB,46,16,22500000
2,21725,Filipe Luís,1985-08-09,Jaraguá do Sul,Brazil,182,Brazil,Italy,LB,13,3,7200000
2,16635,Juanfran,1985-01-09,Crevillente,Spain,181,Spain,N/A,RB,13,20,4500000
2,348549,Álex García,1994-02-07,Zaragoza,Spain,192,Spain,N/A,CB,12834,-1,270000
2,354697,Alberto Rodríguez,1997-09-10,Fuenlabrada,Spain,184,Spain,N/A,CB,3679,-1,180000
2,74229,Koke,1992-01-08,Madrid,Spain,176,Spain,N/A,CM,13,6,63000000
2,230784,Thomas,1993-06-13,Odumase Krobo,Ghana,185,Ghana,N/A,DM,13,22,22500000
2,22969,Gabi,1983-07-10,Madrid,Spain,181,Spain,N/A,DM,656,14,2700000
2,324321,Bernard Mensah,1994-10-17,Accra,Ghana,180,Ghana,N/A,CM,3205,-1,1800000
2,295622,Keidi Bare,1997-08-28,Fier,Albania,174,Albania,N/A,AM,5649,-1,450000
2,242299,Roberto Olabe,1996-05-05,Donostia-San Sebastián,Spain,-1,Spain,N/A,CM,29095,-1,225000
2,125781,Antoine Griezmann,1991-03-21,Mâcon,France,176,France,N/A,CF,13,7,108000000
2,140776,Yannick Carrasco,1993-09-04,Ixelles,Belgium,180,Belgium,Spain,LW,33304,10,19800000
2,27389,Kévin Gameiro,1987-05-09,Senlis,France,172,France,N/A,CF,1049,21,16200000
2,214316,Luciano Vietto,1993-12-05,Balnearía,Argentina,173,Argentina,Italy,CF,931,-1,5400000
2,7767,Fernando Torres,1984-03-20,Fuenlabrada (Madrid),Spain,186,Spain,N/A,CF,22177,9,3600000
2,21748,Alessio Cerci,1987-07-23,Velletri,Italy,180,Italy,N/A,RW,868,17,1800000
2,255888,Roberto Núñez,1996-01-03,Talavera de la Reina,Spain,182,Spain,N/A,CF,11610,-1,90000
2,339814,Juan Moreno,1997-05-11,Móstoles,Spain,-1,Spain,N/A,RW,7077,-1,90000
1,368,Sevilla FC,ES1-2016,72
2,207302,Sergio Rico,1993-09-01,Sevilla,Spain,194,Spain,N/A,GK,931,1,10800000
2,226012,David Soria,1993-04-04,Madrid,Spain,192,Spain,N/A,GK,3709,13,2700000
2,182904,Clément Lenglet,1995-06-17,Beauvais,France,186,France,N/A,CB,131,5,32400000
2,51118,Adil Rami,1985-12-27,Bastia,France,190,France,Morocco,CB,244,23,6300000
2,45319,Gabriel Mercado,1987-03-18,Puerto Madryn,Argentina,181,Argentina,Spain,RB,368,24,3150000
2,349836,Diego González,1995-01-28,Chiclana de la Frontera (Cádiz),Spain,185,Spain,N/A,CB,1084,-1,1800000
2,251846,David Carmona,1997-01-11,Palma del Río,Spain,176,Spain,N/A,RB,2687,-1,1350000
2,37712,Daniel Carriço,1988-08-04,Cascais,Portugal,182,Portugal,N/A,CB,368,6,900000
2,243760,Álex Muñoz,1994-07-30,Alicante,Spain,185,Spain,N/A,CB,142,-1,630000
2,73734,Steven Nzonzi,1988-12-15,Colombes,France,196,France,DR Congo,DM,12,15,27000000
2,76163,Franco Vázquez,1989-02-22,Tanti,Argentina,186,Argentina,Italy,AM,368,22,6750000
